from_node_id,to_node_id,cell_id,FFTT_in_sec,distance,o_distance,d_distance,accessbility_time,hit_count,use_count,benefit,geometry
378,1,-22388993314,9,0.005000,999999.000000,999999.000000,84,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9442627 33.4302, -111.9442601 33.4299032, -111.9442568 33.4295279, -111.9442567 33.4295155)"
1,378,-22388993315,9,0.005000,999999.000000,999999.000000,65,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9442567 33.4295155, -111.9442568 33.4295279, -111.9442601 33.4299032, -111.9442627 33.4302)"
148,19,-22387993316,12,0.000259,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9376334 33.4243567, -111.9375509 33.4243581, -111.9373581 33.4243583, -111.9367572 33.424359, -111.936666 33.4243591)"
19,148,-22387993316,12,0.000259,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.936666 33.4243591, -111.9367572 33.424359, -111.9373581 33.4243583, -111.9375509 33.4243581, -111.9376334 33.4243567)"
19,73,-22387993316,22,0.000411,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.936666 33.4243591, -111.9365605 33.4243597, -111.9362338 33.4243617, -111.9358561 33.4243639, -111.9355078 33.424366, -111.9353948 33.4243414, -111.9353091 33.4243324, -111.9350964 33.4243366, -111.9349809 33.4243346)"
73,19,-22386993316,22,0.000411,999999.000000,999999.000000,104,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9349809 33.4243346, -111.9350964 33.4243366, -111.9353091 33.4243324, -111.9353948 33.4243414, -111.9355078 33.424366, -111.9358561 33.4243639, -111.9362338 33.4243617, -111.9365605 33.4243597, -111.936666 33.4243591)"
76,380,-22387993317,14,0.000125,999999.000000,999999.000000,999999,4,0,-100.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9395884 33.4159654, -111.9395362 33.4159003, -111.9394011 33.4157327, -111.9392425 33.41555, -111.9389322 33.4153003, -111.9388168 33.4152112, -111.9386707 33.4151129, -111.9384473 33.415)"
140,41,-22387993315,6,0.000102,999999.000000,999999.000000,106,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9399641 33.4264662, -111.940024 33.4264642, -111.9400776 33.4264624)"
41,140,-22388993315,6,0.000098,999999.000000,999999.000000,106,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9400776 33.4264624, -111.940024 33.4264642, -111.9399641 33.4264662)"
41,42,-22388993315,9,0.005000,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9400776 33.4264624, -111.940778 33.4264585)"
42,41,-22388993315,9,0.005000,999999.000000,999999.000000,63,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.940778 33.4264585, -111.9400776 33.4264624)"
124,53,-22387993316,14,0.000423,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9381462 33.4218977, -111.9380605 33.4218977, -111.9367573 33.4219048, -111.9366625 33.4219038)"
53,377,-22387993316,16,0.000607,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366625 33.4219038, -111.9365628 33.4219033, -111.9358468 33.4219032, -111.9356516 33.4219032, -111.9352555 33.4219032, -111.9350608 33.4218992, -111.9349485 33.421897)"
141,142,-22387993315,6,0.000095,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9395019 33.4273825, -111.939719 33.4273828, -111.9398405 33.427384, -111.9398764 33.4273843, -111.9399633 33.4273851)"
142,141,-22387993315,6,0.000135,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9399633 33.4273851, -111.9398764 33.4273843, -111.9398405 33.427384, -111.939719 33.4273828, -111.9395019 33.4273825)"
97,194,-22387993315,13,0.000376,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9394161 33.4254973, -111.9392877 33.4254971, -111.9390426 33.4254967, -111.9388368 33.4254969, -111.9382883 33.4254956, -111.9382749 33.4254956, -111.938161 33.4254954)"
194,97,-22387993315,13,0.000279,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.938161 33.4254954, -111.9382749 33.4254956, -111.9382883 33.4254956, -111.9388368 33.4254969, -111.9390426 33.4254967, -111.9392877 33.4254971, -111.9394161 33.4254973)"
194,59,-22387993315,16,0.000543,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.938161 33.4254954, -111.9380281 33.4254952, -111.9367711 33.4254993, -111.9366724 33.4254992)"
59,194,-22387993315,16,0.000394,999999.000000,999999.000000,48,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366724 33.4254992, -111.9367711 33.4254993, -111.9380281 33.4254952, -111.938161 33.4254954)"
312,313,-22387993317,34,0.002196,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.936655 33.4174833, -111.9366529 33.4173851, -111.9366318 33.4164108, -111.9366289 33.4162774, -111.9366276 33.4162059)"
313,312,-22387993317,34,0.002274,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366276 33.4162059, -111.9366289 33.4162774, -111.9366318 33.4164108, -111.9366529 33.4173851, -111.936655 33.4174833)"
313,384,-22387993317,32,0.002171,999999.000000,999999.000000,32,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366276 33.4162059, -111.9366262 33.4161337, -111.9366235 33.4159544, -111.9366159 33.4154174, -111.9366121 33.4151484, -111.9366113 33.4150834, -111.9366102 33.415)"
384,313,-22387993317,32,0.002190,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366102 33.415, -111.9366113 33.4150834, -111.9366121 33.4151484, -111.9366159 33.4154174, -111.9366235 33.4159544, -111.9366262 33.4161337, -111.9366276 33.4162059)"
63,135,-22387993317,20,0.000085,999999.000000,999999.000000,102,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9381178 33.419078, -111.9387912 33.4190679, -111.9394774 33.4190577, -111.9396092 33.4190557, -111.9398053 33.4190582, -111.939854 33.4190575)"
135,63,-22387993317,20,0.000115,999999.000000,999999.000000,102,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.939854 33.4190575, -111.9398053 33.4190582, -111.9396092 33.4190557, -111.9394774 33.4190577, -111.9387912 33.4190679, -111.9381178 33.419078)"
135,337,-22387993317,6,0.005000,999999.000000,999999.000000,46,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.939854 33.4190575, -111.9398947 33.419057)"
337,135,-22387993317,6,0.005000,999999.000000,999999.000000,46,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9398947 33.419057, -111.939854 33.4190575)"
337,339,-22387993317,6,0.000090,999999.000000,999999.000000,49,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9398947 33.419057, -111.9399806 33.4190558)"
339,337,-22387993317,6,0.000085,999999.000000,999999.000000,49,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9399806 33.4190558, -111.9398947 33.419057)"
339,121,-22387993317,6,0.000094,999999.000000,999999.000000,49,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9399806 33.4190558, -111.940028 33.4190552)"
121,339,-22388993317,6,0.000090,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.940028 33.4190552, -111.9399806 33.4190558)"
124,195,-22387993316,18,0.001970,999999.000000,999999.000000,105,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9381462 33.4218977, -111.9381443 33.4218328, -111.9381441 33.421823, -111.9381352 33.4213307, -111.9381331 33.4212166, -111.9381205 33.4205221)"
195,124,-22387993316,18,0.001938,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9381205 33.4205221, -111.9381331 33.4212166, -111.9381352 33.4213307, -111.9381441 33.421823, -111.9381443 33.4218328, -111.9381462 33.4218977)"
195,63,-22387993316,19,0.002060,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9381205 33.4205221, -111.9381166 33.4203044, -111.9381172 33.4196844, -111.9381177 33.4191316, -111.9381178 33.419078)"
63,195,-22387993317,19,0.001979,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9381178 33.419078, -111.9381177 33.4191316, -111.9381172 33.4196844, -111.9381166 33.4203044, -111.9381205 33.4205221)"
52,23,-22387993317,14,0.000235,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9399894 33.4162047, -111.9405834 33.4162013, -111.941205 33.416204)"
23,52,-22388993317,14,0.000140,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.941205 33.416204, -111.9405834 33.4162013, -111.9399894 33.4162047)"
119,313,-22387993317,6,0.000350,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9370673 33.4162376, -111.9369754 33.4162264, -111.9368855 33.4162192, -111.9367114 33.41621, -111.9366276 33.4162059)"
313,119,-22387993317,6,0.000306,999999.000000,999999.000000,25,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366276 33.4162059, -111.9367114 33.41621, -111.9368855 33.4162192, -111.9369754 33.4162264, -111.9370673 33.4162376)"
195,267,-22387993316,10,0.000692,999999.000000,999999.000000,106,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9381205 33.4205221, -111.9382483 33.4205199, -111.9383704 33.4205178, -111.9384391 33.4205166, -111.9385716 33.4205143, -111.9387606 33.4205111, -111.9389314 33.4205069)"
267,195,-22387993316,10,0.000766,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9389314 33.4205069, -111.9387606 33.4205111, -111.9385716 33.4205143, -111.9384391 33.4205166, -111.9383704 33.4205178, -111.9382483 33.4205199, -111.9381205 33.4205221)"
49,137,-22388993316,6,0.000083,999999.000000,999999.000000,91,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9400687 33.4231956, -111.9399685 33.4231886)"
137,49,-22387993316,6,0.000090,999999.000000,999999.000000,93,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9399685 33.4231886, -111.9400687 33.4231956)"
137,64,-22387993316,24,0.000098,999999.000000,999999.000000,109,1,0,-100.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9399685 33.4231886, -111.9398537 33.4231887, -111.9394081 33.4231893, -111.9386929 33.4231902, -111.9386834 33.4231902, -111.9382169 33.4231912, -111.9381595 33.4231914)"
64,137,-22387993316,24,0.000084,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9381595 33.4231914, -111.9382169 33.4231912, -111.9386834 33.4231902, -111.9386929 33.4231902, -111.9394081 33.4231893, -111.9398537 33.4231887, -111.9399685 33.4231886)"
64,62,-22387993316,19,0.000390,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9381595 33.4231914, -111.9380587 33.4231924, -111.9375492 33.4231973, -111.9370222 33.4232024, -111.9367632 33.4232049, -111.9366746 33.4232058)"
62,64,-22387993316,19,0.000241,999999.000000,999999.000000,95,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366746 33.4232058, -111.9367632 33.4232049, -111.9370222 33.4232024, -111.9375492 33.4231973, -111.9380587 33.4231924, -111.9381595 33.4231914)"
62,65,-22387993316,22,0.000576,999999.000000,999999.000000,109,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9366746 33.4232058, -111.9365584 33.4232063, -111.9362169 33.4232078, -111.9356657 33.4232102, -111.9354766 33.423211, -111.9351153 33.4232126, -111.9349899 33.4232132)"
65,62,-22386993316,22,0.000407,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9349899 33.4232132, -111.9351153 33.4232126, -111.9354766 33.423211, -111.9356657 33.4232102, -111.9362169 33.4232078, -111.9365584 33.4232063, -111.9366746 33.4232058)"
