agent_id,cumu_time_in_sec,time_index,time_index_t,time_index_diff,travel_time_in_sec,timestamp_minute,from_node_id,to_node_id,length,FFTT_in_sec,delay_in_sec,cumu_distance,label_cost,hh,mm,ss,geometry,geometry_from_node,
6,0,0,4,4,12,16.67,402,131,175.134588,16,-4,175.134583,0.000074,0,16,39,"LINESTRING (-111.938158 33.415000,-111.938552 33.415188,-111.938839 33.415386,-111.939155 33.415634,-111.939396 33.415918,-111.939442 33.415993,-111.939492 33.416074,)","POINT (-111.938158 33.415000)",
6,12,4,6,2,6,16.87,131,132,112.279051,10,-4,287.413635,0.000078,0,16,52,"LINESTRING (-111.939492 33.416074,-111.939605 33.416256,-111.939747 33.416566,-111.939825 33.416902,-111.939837 33.417032,)","POINT (-111.939492 33.416074)",
6,18,6,9,3,9,16.97,132,133,47.002528,6,3,334.416168,0.000114,0,16,57,"LINESTRING (-111.939837 33.417032,-111.939846 33.417120,-111.939844 33.417455,)","POINT (-111.939837 33.417032)",
6,27,9,10,1,3,17.12,133,134,18.237954,6,-3,352.654114,0.000668,0,17,7,"LINESTRING (-111.939844 33.417455,-111.939847 33.417619,)","POINT (-111.939844 33.417455)",
6,30,10,16,6,18,17.17,134,201,118.892810,10,8,471.546936,0.000689,0,17,9,"LINESTRING (-111.939847 33.417619,-111.939846 33.418438,-111.939850 33.418688,)","POINT (-111.939847 33.417619)",
6,48,16,28,12,36,17.47,201,202,5.470861,6,30,477.017792,0.001206,0,17,27,"LINESTRING (-111.939850 33.418688,-111.939851 33.418737,)","POINT (-111.939850 33.418688)",
6,84,28,30,2,6,18.07,202,135,35.608079,6,0,512.625854,0.001233,0,18,3,"LINESTRING (-111.939851 33.418737,-111.939852 33.418984,-111.939854 33.419058,)","POINT (-111.939851 33.418737)",
6,90,30,31,1,3,18.17,135,203,31.042032,6,-3,543.667908,0.001496,0,18,9,"LINESTRING (-111.939854 33.419058,-111.939857 33.419139,-111.939861 33.419337,)","POINT (-111.939854 33.419058)",
6,93,31,32,1,3,18.22,203,205,24.156932,6,-3,567.824829,0.001938,0,18,12,"LINESTRING (-111.939861 33.419337,-111.939866 33.419554,)","POINT (-111.939861 33.419337)",
6,96,32,33,1,3,18.27,205,206,24.818818,6,-3,592.643677,0.002392,0,18,15,"LINESTRING (-111.939866 33.419554,-111.939866 33.419569,-111.939866 33.419777,)","POINT (-111.939866 33.419554)",
