trace_id,agent_id,time,x_coord,y_coord,time,hh,mm,ss,g_ss,interval,cu
1,6,2008-09-26T00:16:40Z,-111.9385856,33.4152454,9/26/2008,0,16,40,1000,3,0
2,6,2008-09-26T00:16:43Z,-111.9389546,33.4155041,9/26/2008,0,16,43,1003,3,3
3,6,2008-09-26T00:16:46Z,-111.9391893,33.4157201,9/26/2008,0,16,46,1006,3,6
4,6,2008-09-26T00:16:49Z,-111.939324,33.4158709,9/26/2008,0,16,49,1009,3,9
5,6,2008-09-26T00:16:54Z,-111.9395031,33.4161149,9/26/2008,0,16,54,1014,5,14
6,6,2008-09-26T00:16:57Z,-111.9396428,33.4163753,9/26/2008,0,16,57,1017,3,17
7,6,2008-09-26T00:17:01Z,-111.939801,33.4168114,9/26/2008,0,17,1,1021,4,21
8,6,2008-09-26T00:17:05Z,-111.9398616,33.417298,9/26/2008,0,17,5,1025,4,25
9,6,2008-09-26T00:17:11Z,-111.9398688,33.4180246,9/26/2008,0,17,11,1031,6,31
10,6,2008-09-26T00:17:15Z,-111.9398724,33.4184156,9/26/2008,0,17,15,1035,4,35
11,6,2008-09-26T00:17:19Z,-111.9398916,33.4186951,9/26/2008,0,17,19,1039,4,39
12,6,2008-09-26T00:17:23Z,-111.9399024,33.4187982,9/26/2008,0,17,23,1043,4,43
13,6,2008-09-26T00:17:30Z,-111.9398956,33.4187903,9/26/2008,0,17,30,1050,7,50
14,6,2008-09-26T00:18:06Z,-111.9398785,33.4188245,9/26/2008,0,18,6,1086,36,86
15,6,2008-09-26T00:18:09Z,-111.9398792,33.41898,9/26/2008,0,18,9,1089,3,89
16,6,2008-09-26T00:18:13Z,-111.9398845,33.4193481,9/26/2008,0,18,13,1093,4,93
17,6,2008-09-26T00:18:18Z,-111.9398955,33.4199414,9/26/2008,0,18,18,1098,5,98
18,6,2008-09-26T00:18:28Z,-111.9399134,33.4210675,9/26/2008,0,18,28,1108,10,108
19,6,2008-09-26T00:18:32Z,-111.9399274,33.4214486,9/26/2008,0,18,32,1112,4,112
20,6,2008-09-26T00:18:35Z,-111.9399459,33.4216348,9/26/2008,0,18,35,1115,3,115
21,6,2008-09-26T00:18:38Z,-111.9399536,33.4217233,9/26/2008,0,18,38,1118,3,118
22,6,2008-09-26T00:18:42Z,-111.9399391,33.4217146,9/26/2008,0,18,42,1122,4,122
23,6,2008-09-26T00:19:01Z,-111.9399033,33.4216752,9/26/2008,0,19,1,1141,19,141
24,6,2008-09-26T00:19:34Z,-111.9399196,33.421683,9/26/2008,0,19,34,1174,33,174
25,6,2008-09-26T00:19:37Z,-111.939923,33.4217934,9/26/2008,0,19,37,1177,3,177
26,6,2008-09-26T00:19:40Z,-111.9399284,33.4220252,9/26/2008,0,19,40,1180,3,180
27,6,2008-09-26T00:19:48Z,-111.9399755,33.4227832,9/26/2008,0,19,48,1188,8,188
28,6,2008-09-26T00:19:51Z,-111.9399834,33.4229665,9/26/2008,0,19,51,1191,3,191
29,6,2008-09-26T00:19:55Z,-111.9399837,33.4230649,9/26/2008,0,19,55,1195,4,195
30,6,2008-09-26T00:20:01Z,-111.9399784,33.4230677,9/26/2008,0,20,1,1201,6,201
31,6,2008-09-26T00:20:19Z,-111.9399525,33.423112,9/26/2008,0,20,19,1219,18,219
32,6,2008-09-26T00:20:22Z,-111.9399495,33.4232891,9/26/2008,0,20,22,1222,3,222
33,6,2008-09-26T00:20:29Z,-111.9399496,33.4238651,9/26/2008,0,20,29,1229,7,229
34,6,2008-09-26T00:20:33Z,-111.9399334,33.4243222,9/26/2008,0,20,33,1233,4,233
35,6,2008-09-26T00:20:41Z,-111.9399671,33.4252784,9/26/2008,0,20,41,1241,8,241
36,6,2008-09-26T00:20:49Z,-111.9399608,33.4262006,9/26/2008,0,20,49,1249,8,249
37,6,2008-09-26T00:20:53Z,-111.9399847,33.4265548,9/26/2008,0,20,53,1253,4,253
38,6,2008-09-26T00:20:58Z,-111.9399683,33.4269159,9/26/2008,0,20,58,1258,5,258
39,6,2008-09-26T00:21:01Z,-111.9399763,33.4270201,9/26/2008,0,21,1,1261,3,261
40,6,2008-09-26T00:21:05Z,-111.9399801,33.4270331,9/26/2008,0,21,5,1265,4,265
41,6,2008-09-26T00:21:09Z,-111.939974,33.4271089,9/26/2008,0,21,9,1269,4,269
42,6,2008-09-26T00:21:12Z,-111.939977,33.4272987,9/26/2008,0,21,12,1272,3,272
43,6,2008-09-26T00:21:17Z,-111.9399879,33.4277645,9/26/2008,0,21,17,1277,5,277
44,6,2008-09-26T00:21:23Z,-111.9400004,33.4284308,9/26/2008,0,21,23,1283,6,283
45,6,2008-09-26T00:21:29Z,-111.9399938,33.4290382,9/26/2008,0,21,29,1289,6,289
46,6,2008-09-26T00:21:32Z,-111.9400004,33.4292037,9/26/2008,0,21,32,1292,3,292
47,6,2008-09-26T00:21:35Z,-111.9400092,33.429263,9/26/2008,0,21,35,1295,3,295
48,6,2008-09-26T00:21:46Z,-111.9400222,33.4293034,9/26/2008,0,21,46,1306,11,306
49,6,2008-09-26T00:21:49Z,-111.9400225,33.4294789,9/26/2008,0,21,49,1309,3,309
50,6,2008-09-26T00:21:52Z,-111.9400093,33.429768,9/26/2008,0,21,52,1312,3,312
51,6,2008-09-26T00:21:56Z,-111.9399962,33.4302633,9/26/2008,0,21,56,1316,4,316
52,6,2008-09-26T00:22:01Z,-111.9400418,33.430976,9/26/2008,0,22,1,1321,5,321
53,6,2008-09-26T00:22:07Z,-111.9402009,33.4319157,9/26/2008,0,22,7,1327,6,327
